,0
0,352.97966614000006
1,349.49899902000004
2,362.19033508
3,367.95333252000006
4,393.77533265000005
5,394.17200012
6,378.75999756
7,381.85499572
8,363.9876648
9,376.29433289
10,382.7260009800001
11,373.28499755999997
12,363.11599732
13,345.09299622
14,348.03800048
15,370.79034119000005
16,347.8423309200001
17,354.34833374000004
18,352.9673339900001
19,353.24200439000003
20,342.39899598
21,346.76966552000005
22,342.78899537999996
23,338.85733032999997
24,333.3686615099999
25,346.12566225
26,346.76632693
27,351.39466857
28,369.1143402
29,362.80933533
30,368.48033753000004
31,361.25733337
32,352.3796631000001
33,402.67266539999997
34,382.98766785000004
35,383.19833679000004
36,359.11499634
37,347.07899781000003
38,350.28699645
39,348.71966246
40,383.69033814000005
41,355.53766786000006
42,353.07866516999997
43,348.7439972000001
44,350.58599855
45,352.50566712000006
46,351.70433349
47,342.33266297999995
48,315.83699648000004
49,329.21699221999995
50,292.1533356
51,284.25499879999995
52,301.08299866
53,316.64899903
54,336.70599670999997
55,316.34333191999997
56,328.98166503
57,334.81266174999996
58,335.38632813999993
59,339.99333192
60,325.87432863999993
61,302.72066345999997
62,288.09100038
63,316.98333434999995
64,335.25665896
65,318.8873260699999
66,295.20000304999996
67,273.86867369000004
68,239.83866884999998
69,271.83666990000006
70,272.91933441000003
71,286.42433166
72,286.98266602
73,290.73466797000003
74,283.88166504000003
75,279.18833008999997
76,277.50167235
77,278.58100279000007
78,284.28866881999994
79,280.54400025999996
80,265.45265809999995
81,243.74900362
82,267.29999695000004
83,282.44100038
84,285.09866638000005
85,323.42999571999997
86,329.24066161999997
87,341.48299561999994
88,345.08666989999995
89,346.56766662999996
90,342.29732971000004
91,383.41467286
92,381.36033325000005
93,389.34367066
94,387.08199768
95,371.06600341
96,379.83399657999996
97,377.74500122
98,355.86133118000004
99,352.87966308
100,344.91099549000006
101,347.45833435
102,357.44500123000006
103,347.25533142
104,353.33200073
105,346.70032960000003
106,352.84466553000004
107,344.85166626
108,356.7309997700001
109,353.96333313
110,347.59533082
111,309.84166261
112,314.09233095
113,291.06133423999995
114,276.5723358000001
115,307.74499818
116,328.85133055999995
117,336.61965943999996
118,303.20800171
119,279.42833555999994
120,270.20700379
121,281.25200195
122,244.61667022
123,248.44566651000005
124,250.24099581000002
125,246.18400115000003
126,255.29000396
127,233.70766449
128,239.11433256999993
129,224.17466890999998
130,227.33533478000004
131,207.52600096999998
132,215.58866425000002
133,234.53099976
134,253.40733187
135,259.52333528
136,245.39766998
137,259.64300536
138,240.53566435999997
139,237.89666595999998
140,233.48566434
141,245.00166778000002
142,240.98099975
143,234.38633424999998
144,211.83999939
145,221.64999542
146,235.22400208
147,213.61233368000003
148,215.14433440999997
149,237.38133391000002
150,237.04733426
151,239.54333495
152,244.09566802999998
153,251.95100252000003
154,239.07666932
155,229.25399934
156,223.99166719
157,225.02467042000004
158,239.36633758000002
159,225.39933166
160,244.26966708
161,255.82500001
162,238.82733154000002
163,238.86866608999995
164,234.95066833
165,231.77300110000002
166,242.75933227000002
167,239.64300079999998
168,242.0173355
169,243.09333496
170,286.23467101
171,280.96533506000003
172,276.2023346
173,249.70867158000001
174,274.5483398299999
175,281.54167023
176,291.89999694999995
177,312.05932618
178,309.30499574
179,341.83766478999996
180,343.79732971
181,320.92499696999994
182,277.82300721
183,281.89167173000004
184,296.73966371
185,280.7993347099999
186,296.21266479999997
187,334.29466247999994
188,337.1376586999999
189,346.1149993899999
190,326.14866638
191,335.7683319199999
192,319.45166322
193,301.48466494
194,312.7603302199999
195,286.96600342
196,283.68033448
197,277.67600097
198,274.30867003
199,274.25600888
200,281.74633179000006
201,276.43034056
202,285.46866762
203,285.40166626999996
204,285.87866515999997
205,293.05500487999996
206,330.3209930499999
207,308.97066652
208,305.02499695999995
209,322.5610015799999
210,334.16799621999996
211,332.19699707999996
212,334.92866517
213,338.56733094
214,311.25866393999996
215,268.68834227
216,277.40266723999997
217,279.53066406
218,282.51232911
219,270.38967285
220,269.55199585
221,244.04100342
222,244.48066561000002
223,238.34333344
224,234.45866698999998
225,230.56799928
226,222.77299651999996
227,217.26066588999998
228,219.94400025
229,219.31333314
230,204.80000305999997
231,217.60399629
232,222.16533202
233,226.37166900000003
234,204.30600127000002
235,214.37533263
236,213.11333313
237,221.40899810000002
238,227.41300047
239,231.18199918
240,226.07433318000002
241,225.54999998000002
242,223.97566680999998
243,215.75533446999998
244,216.75733644000002
245,214.09766845
246,188.53567201999996
247,195.65833589
248,194.41233675
249,194.5400009
250,193.99933318999996
251,196.78266756
252,190.78800507
253,201.57733614
254,194.28900452
255,197.37566988
256,200.57433626000002
257,184.39066771
258,188.79933471
259,192.38399962
260,192.19333189
261,191.77266537999998
262,191.82133635999998
263,197.0273346
264,193.39266815000002
265,196.13900149000003
266,200.20333559
267,196.75299989
268,191.61333159999998
269,190.92033078000003
270,186.32466889
271,176.32466581
272,168.40933228
273,155.47400055000003
274,146.97100371999997
275,146.73766785
276,133.20333635
277,133.31666719
278,132.91566545999999
279,131.18399813000002
280,121.56946566000002
281,124.65199969
282,125.81626514000001
283,124.47739872000002
284,112.79859926700001
285,118.83386539
286,118.77513354800001
287,120.12779850000001
288,130.21946642
289,124.191799948
290,133.73606722
291,133.31640243
292,130.70646441000002
293,135.98533098
294,134.4554657
295,135.67266540999998
296,138.95092927999997
297,147.82933198
298,144.14833069999997
299,146.1606659
300,150.07933350000002
301,171.45500029
302,170.74100033000002
303,180.66766355
304,187.92699581000005
305,193.65199429999998
306,191.48733213000006
307,193.03199766999998
308,195.86766511
309,204.38400267999998
310,206.95633547000003
311,195.28900453
312,194.24600372999998
313,208.77400208
314,214.55833282999998
315,203.02133485
316,205.06766508
317,196.10133514999998
318,205.17833557
319,204.37266998
320,200.05500336999998
321,208.72133027000004
322,204.9786667
323,203.22600100000002
324,199.48966828
325,197.39033509
326,196.03533478
327,195.45333709999997
328,201.77233582
329,202.13100129999998
330,192.98566588999998
331,192.79166869
332,192.28733060999997
333,193.62133176999998
334,193.69199675
335,193.03199614000002
336,192.99666748
337,195.77532959
338,200.12933351
339,192.05667266999998
340,194.44566957
341,193.14733581999997
342,195.17566834000002
343,194.90133361999997
344,197.46499938999997
345,207.92200012000004
346,197.44133454
347,197.35967102
348,196.30233613000001
349,198.22600099000002
350,197.09933321
351,194.67266693000002
352,199.01533510000002
353,197.08866883000002
354,196.58333586999998
355,196.87866821999995
356,196.08333588000002
357,192.77700042000004
358,191.54133301
359,182.18666687
360,186.40433197000002
361,166.8536682
362,155.94233475000001
363,153.67633438000001
364,162.13933486
365,162.21200101999997
366,172.94633176999997
367,169.92533184
368,167.97399976000003
369,162.56700285
370,180.2983322
371,173.53933027
372,185.3736633
373,188.71432950999997
374,187.71699828
375,181.8733322
376,179.44466549999999
377,189.83599699000004
378,193.47266233
379,191.48732908000002
380,193.2593292
381,191.88333281
382,200.17200165000003
383,195.62100067
384,193.12600249999997
385,203.15500030999996
386,206.79799957999998
387,208.65200044000002
388,215.56999816
389,218.83899993999998
390,227.67166748999995
391,227.14666747
392,232.88500212000002
393,245.12733462
394,255.72166596000002
395,262.62300415
396,263.79000854000003
397,252.05333558
398,258.6196701
399,274.14233399000005
400,265.32500304000007
401,264.61632692
402,260.85933532
403,240.27533569000002
404,240.46266634
405,261.47666932000004
