,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-06-01,14.417251044927978,-37.11561740431427,40.656609697049056,14.417251044927978,14.417251044927978,-12.624710814794874,-12.624710814794874,-12.624710814794874,0.15041965338009045,0.15041965338009045,0.15041965338009045,-12.775130468174964,-12.775130468174964,-12.775130468174964,0.0,0.0,0.0,1.7925402301331044
1,2016-06-02,14.430345762634632,-38.99053967849463,37.60384004925143,14.430345762634632,14.430345762634632,-12.266955659573954,-12.266955659573954,-12.266955659573954,-0.266762191183783,-0.266762191183783,-0.266762191183783,-12.00019346839017,-12.00019346839017,-12.00019346839017,0.0,0.0,0.0,2.163390103060678
2,2016-06-03,14.443440480341286,-33.75050011568031,41.38636973440326,14.443440480341286,14.443440480341286,-12.098472890486775,-12.098472890486775,-12.098472890486775,-0.8402345252915618,-0.8402345252915618,-0.8402345252915618,-11.258238365195213,-11.258238365195213,-11.258238365195213,0.0,0.0,0.0,2.3449675898545106
3,2016-06-06,14.482724633461245,-33.086433000560795,45.33746529687028,14.482724633461245,14.482724633461245,-8.35897144009183,-8.35897144009183,-8.35897144009183,0.9511781011405875,0.9511781011405875,0.9511781011405875,-9.310149541232416,-9.310149541232416,-9.310149541232416,0.0,0.0,0.0,6.123753193369415
4,2016-06-07,14.4958193511679,-33.15715394924739,45.53567580686841,14.4958193511679,14.4958193511679,-8.941332797295992,-8.941332797295992,-8.941332797295992,-0.17006133625880407,-0.17006133625880407,-0.17006133625880407,-8.771271461037188,-8.771271461037188,-8.771271461037188,0.0,0.0,0.0,5.554486553871907
5,2016-06-08,14.508914068874555,-31.21598844915118,43.43703243873914,14.508914068874555,14.508914068874555,-8.141548536077252,-8.141548536077252,-8.141548536077252,0.15041965337677413,0.15041965337677413,0.15041965337677413,-8.291968189454025,-8.291968189454025,-8.291968189454025,0.0,0.0,0.0,6.367365532797303
6,2016-06-09,14.522008786581209,-33.368427768848484,44.31258129116466,14.522008786581209,14.522008786581209,-8.138832404133314,-8.138832404133314,-8.138832404133314,-0.2667621911794597,-0.2667621911794597,-0.2667621911794597,-7.8720702129538545,-7.8720702129538545,-7.8720702129538545,0.0,0.0,0.0,6.383176382447894
7,2016-06-10,14.535103504287859,-32.230713383383424,45.57072111461102,14.535103504287859,14.535103504287859,-8.349892408373034,-8.349892408373034,-8.349892408373034,-0.8402345252922326,-0.8402345252922326,-0.8402345252922326,-7.509657883080801,-7.509657883080801,-7.509657883080801,0.0,0.0,0.0,6.185211095914825
8,2016-06-13,14.574387657407822,-32.73455716903978,44.609721439507375,14.574387657407822,14.574387657407822,-5.773783801772752,-5.773783801772752,-5.773783801772752,0.9511781011416722,0.9511781011416722,0.9511781011416722,-6.7249619029144245,-6.7249619029144245,-6.7249619029144245,0.0,0.0,0.0,8.800603855635071
9,2016-06-14,14.587482375114476,-31.71971449205724,47.22621730502324,14.587482375114476,14.587482375114476,-6.713843913080613,-6.713843913080613,-6.713843913080613,-0.17006133625795297,-0.17006133625795297,-0.17006133625795297,-6.543782576822659,-6.543782576822659,-6.543782576822659,0.0,0.0,0.0,7.873638462033863
10,2016-06-15,14.60057709282113,-27.715495987634974,48.1997527078611,14.60057709282113,14.60057709282113,-6.239814021802065,-6.239814021802065,-6.239814021802065,0.15041965337886948,0.15041965337886948,0.15041965337886948,-6.3902336751809345,-6.3902336751809345,-6.3902336751809345,0.0,0.0,0.0,8.360763071019065
11,2016-06-16,14.613671810527782,-27.790646432497912,46.490614097456074,14.613671810527782,14.613671810527782,-6.522700001303865,-6.522700001303865,-6.522700001303865,-0.2667621911781989,-0.2667621911781989,-0.2667621911781989,-6.255937810125666,-6.255937810125666,-6.255937810125666,0.0,0.0,0.0,8.090971809223916
12,2016-06-17,14.626766528234436,-28.291904621032874,46.49170661780645,14.626766528234436,14.626766528234436,-6.9725837199945175,-6.9725837199945175,-6.9725837199945175,-0.8402345252929034,-0.8402345252929034,-0.8402345252929034,-6.132349194701614,-6.132349194701614,-6.132349194701614,0.0,0.0,0.0,7.654182808239918
13,2016-06-20,14.666050681354397,-29.181991602013625,46.955540579080214,14.666050681354397,14.666050681354397,-4.792418804891348,-4.792418804891348,-4.792418804891348,0.951178101140402,0.951178101140402,0.951178101140402,-5.74359690603175,-5.74359690603175,-5.74359690603175,0.0,0.0,0.0,9.87363187646305
14,2016-06-21,14.679145399061053,-29.347347967061,49.057268527263844,14.679145399061053,14.679145399061053,-5.753511764446306,-5.753511764446306,-5.753511764446306,-0.1700613362577138,-0.1700613362577138,-0.1700613362577138,-5.583450428188592,-5.583450428188592,-5.583450428188592,0.0,0.0,0.0,8.925633634614748
15,2016-06-22,14.692240116767703,-31.70672197194945,48.1130313956255,14.692240116767703,14.692240116767703,-5.247505804956678,-5.247505804956678,-5.247505804956678,0.15041965337814042,0.15041965337814042,0.15041965337814042,-5.397925458334818,-5.397925458334818,-5.397925458334818,0.0,0.0,0.0,9.444734311811025
16,2016-06-23,14.705334834474357,-28.455336155781573,49.76368102354732,14.705334834474357,14.705334834474357,-5.449402845613768,-5.449402845613768,-5.449402845613768,-0.2667621911778231,-0.2667621911778231,-0.2667621911778231,-5.182640654435946,-5.182640654435946,-5.182640654435946,0.0,0.0,0.0,9.255931988860588
