,0
0,184.75792
1,183.3611
2,180.40921
3,182.33316
4,183.00153
5,187.16315
6,189.44073
7,192.64603
8,196.19008
9,197.15414
10,197.16049
11,194.14963
12,187.31894
13,187.3759
14,189.05925
15,189.87183
16,189.49104
17,190.93103
18,191.83228
19,193.43863
20,191.51811
21,191.00818
22,192.68452
23,194.79529
24,195.54005
25,196.22736
26,201.633
27,208.44833
28,210.7891
29,214.14667
30,214.66966
31,214.45795
32,213.96379
33,213.80077
34,210.72813
35,206.57468
36,205.61191
37,206.07185
38,210.908
39,211.13622
40,208.49248
41,206.45763
42,204.48482
43,203.78548
44,205.7646
45,206.23866
46,205.4182
47,203.97966
48,205.38719
49,204.39478
50,203.99864
51,208.55739
52,212.8782
53,218.5296
54,221.502
55,222.9153
56,224.03061
57,222.1019
58,223.10254
59,223.24991
60,222.88567
61,224.89679
62,225.31648
63,220.55476
64,214.52464
65,214.95901
66,213.37164
67,213.44975
68,217.72278
69,220.62662
70,222.39925
71,221.63371
72,222.68686
73,226.31877
74,229.09198
75,230.13155
76,230.22356
77,230.35182
78,233.41698
79,235.31898
80,236.30342
81,233.79836
82,233.29564
83,233.43146
84,235.30923
85,236.56769
86,237.53279
87,233.40196
88,232.35416
89,234.05223
90,235.38445
91,239.2703
92,244.07791
93,244.35104
94,244.70668
95,243.95872
96,243.42896
97,244.15147
98,244.44449
99,244.88538
100,246.81805
101,246.608
102,247.34407
103,249.94412
104,252.19739
105,254.40399
106,259.36572
107,266.2468
108,268.76355
109,269.89227
110,274.77805
111,279.8228
112,300.49225
113,310.0877
114,316.9816
115,326.30164
116,336.5374
117,356.26562
118,359.52524
119,367.01675
120,373.09558
121,374.3682
122,365.23743
123,338.45065
124,332.54553
125,330.0393
126,324.08884
127,318.02527
128,321.89026
129,329.7111
130,334.6866
131,343.40164
132,350.74313
133,346.32715
134,344.99597
135,339.07584
136,344.91425
137,349.28467
138,343.16626
139,338.34366
140,325.09976
141,317.5985
142,321.21408
143,326.17477
144,318.11688
145,315.94266
146,307.23938
147,301.53357
148,301.8211
149,294.49307
150,291.50922
151,285.24014
152,288.18796
153,301.40967
154,317.51636
155,329.44202
156,333.8632
157,335.19894
158,333.10858
159,329.75113
160,350.92947
161,353.42642
162,343.9105
163,335.4957
164,325.63916
165,325.89334
166,327.46603
167,334.91183
168,326.68045
169,325.10873
170,321.7313
171,314.4706
172,310.9972
173,301.24588
174,294.09494
175,289.052
176,289.818
177,273.4045
178,267.17548
179,279.2504
180,285.44016
181,283.9955
182,280.6377
183,284.0442
184,283.552
185,285.3671
186,287.97937
187,284.9018
188,276.01804
189,273.8593
190,280.65836
191,284.64108
192,278.91144
193,272.53073
194,263.8284
195,250.36578
196,249.14209
197,250.96855
198,261.6865
199,266.67554
200,271.19373
201,266.96454
202,264.1434
203,257.53607
204,257.1043
205,262.7977
206,262.74078
207,255.55583
208,247.0043
209,248.25467
210,255.67876
211,264.736
212,274.6217
213,281.9487
214,296.83655
215,305.08902
216,310.8521
217,312.83527
218,326.4325
219,334.4225
220,336.80457
221,335.00842
222,335.07935
223,344.86267
224,340.95605
225,331.28754
226,328.47208
227,322.38483
228,311.43646
229,307.8366
230,312.21747
231,308.7264
232,309.79727
233,314.43594
234,308.66098
235,310.46902
236,311.17578
237,310.29327
238,290.4528
