Date,Close
9/09/2019,15.45266724
10/09/2019,15.70266724
11/09/2019,16.47333336
12/09/2019,16.39133263
13/09/2019,16.34666634
16/09/2019,16.18733215
17/09/2019,16.31933212
18/09/2019,16.23266792
19/09/2019,16.44000053
20/09/2019,16.04133224
23/09/2019,16.08200073
24/09/2019,14.88066673
25/09/2019,15.24666691
26/09/2019,16.17066765
27/09/2019,16.1420002
30/09/2019,16.05800056
1/10/2019,16.31266785
2/10/2019,16.20866776
3/10/2019,15.53533268
4/10/2019,15.42866707
7/10/2019,15.84799957
8/10/2019,16.00333214
9/10/2019,16.30200005
10/10/2019,16.31599998
11/10/2019,16.52599907
14/10/2019,17.13066673
15/10/2019,17.19266701
16/10/2019,17.31666756
17/10/2019,17.46466637
18/10/2019,17.12999916
21/10/2019,16.89999962
22/10/2019,17.03866768
23/10/2019,16.97866631
24/10/2019,19.97866631
25/10/2019,21.87533379
28/10/2019,21.84733391
29/10/2019,21.08133316
30/10/2019,21.00066757
31/10/2019,20.99466705
1/11/2019,20.88733292
4/11/2019,21.16466713
5/11/2019,21.14800072
6/11/2019,21.77199936
7/11/2019,22.36933327
8/11/2019,22.47599983
11/11/2019,23.00600052
12/11/2019,23.32866669
13/11/2019,23.0739994
14/11/2019,23.29000092
15/11/2019,23.47800064
18/11/2019,23.3326664
19/11/2019,23.96800041
20/11/2019,23.48133278
21/11/2019,23.65533257
22/11/2019,22.20266724
25/11/2019,22.42266655
26/11/2019,21.9279995
27/11/2019,22.08600044
29/11/2019,21.99600029
2/12/2019,22.32466698
3/12/2019,22.41333389
4/12/2019,22.20199966
5/12/2019,22.02466774
6/12/2019,22.39266777
9/12/2019,22.63533211
10/12/2019,23.25600052
11/12/2019,23.51333237
12/12/2019,23.97866631
13/12/2019,23.89266777
16/12/2019,25.43333244
17/12/2019,25.26600075
18/12/2019,26.20999908
19/12/2019,26.93600082
20/12/2019,27.03933334
23/12/2019,27.94799995
24/12/2019,28.35000038
26/12/2019,28.72933388
27/12/2019,28.69199944
30/12/2019,27.64666748
31/12/2019,27.88866615
2/01/2020,28.68400002
3/01/2020,29.5340004
6/01/2020,30.10266685
7/01/2020,31.27066612
8/01/2020,32.8093338
9/01/2020,32.08933258
10/01/2020,31.87666702
