,ds,y
186,2020-06-04,57.62533188
187,2020-06-05,59.04399872
188,2020-06-08,63.32799911
189,2020-06-09,62.71133423
190,2020-06-10,68.33666992
191,2020-06-11,64.85600281
192,2020-06-12,62.35200119
193,2020-06-15,66.05999756
194,2020-06-16,65.47533417
195,2020-06-17,66.11933136
196,2020-06-18,66.93066406
197,2020-06-19,66.72666931
198,2020-06-22,66.28800201
199,2020-06-23,66.78533173
200,2020-06-24,64.05666351
201,2020-06-25,65.73200226
202,2020-06-26,63.98266602
203,2020-06-29,67.29000092
204,2020-06-30,71.98733521
205,2020-07-01,74.64199829
206,2020-07-02,80.57733154
207,2020-07-06,91.4386673
208,2020-07-07,92.65733337
209,2020-07-08,91.05867004
210,2020-07-09,92.95200348
211,2020-07-10,102.9766693
212,2020-07-13,99.80400085
213,2020-07-14,101.1200027
214,2020-07-15,103.0673294
215,2020-07-16,100.0426636
216,2020-07-17,100.0559998
217,2020-07-20,109.5333328
218,2020-07-21,104.5573349
219,2020-07-22,106.1553345
220,2020-07-23,100.8713303
221,2020-07-24,94.46666718
222,2020-07-27,102.6399994
223,2020-07-28,98.43267059
224,2020-07-29,99.9406662
225,2020-07-30,99.16600037
226,2020-07-31,95.38400269
227,2020-08-03,99.0
228,2020-08-04,99.1333313
229,2020-08-05,99.00133514
230,2020-08-06,99.305336
231,2020-08-07,96.84733582
232,2020-08-10,94.57133484
233,2020-08-11,91.62599945
234,2020-08-12,103.6506653
235,2020-08-13,108.0666656
236,2020-08-14,110.0473328
237,2020-08-17,122.3759995
238,2020-08-18,125.8059998
239,2020-08-19,125.2353363
240,2020-08-20,133.4553375
241,2020-08-21,136.665329
242,2020-08-24,134.2799988
243,2020-08-25,134.889328
244,2020-08-26,143.5446625
245,2020-08-27,149.25
246,2020-08-28,147.5599976
247,2020-08-31,166.1066742
248,2020-09-01,158.3500061
249,2020-09-02,149.1233368
250,2020-09-03,135.6666718
251,2020-09-04,139.4400024
252,2020-09-08,110.0699997
253,2020-09-09,122.0933304
254,2020-09-10,123.7799988
255,2020-09-11,124.2399979
256,2020-09-14,139.8733368
257,2020-09-15,149.9199982
258,2020-09-16,147.2533264
259,2020-09-17,141.1433258
260,2020-09-18,147.3833313
261,2020-09-21,149.7966614
262,2020-09-22,141.4100037
263,2020-09-23,126.7866669
264,2020-09-24,129.2633362
265,2020-09-25,135.7799988
266,2020-09-28,140.3999939
267,2020-09-29,139.6900024
