,0,1,2,3,4,5,6
0,387.6466675,341.1666565,355.9833374,354.5033264,344.4733276,337.7966614,351.5766602
1,341.1666565,355.9833374,354.5033264,344.4733276,337.7966614,351.5766602,363.0033264
2,355.9833374,354.5033264,344.4733276,337.7966614,351.5766602,363.0033264,365.4599915
3,354.5033264,344.4733276,337.7966614,351.5766602,363.0033264,365.4599915,379.019989
4,344.4733276,337.7966614,351.5766602,363.0033264,365.4599915,379.019989,385.6233215
5,337.7966614,351.5766602,363.0033264,365.4599915,379.019989,385.6233215,369.6766663
6,351.5766602,363.0033264,365.4599915,379.019989,385.6233215,369.6766663,372.0
7,363.0033264,365.4599915,379.019989,385.6233215,369.6766663,372.0,360.6400146
8,365.4599915,379.019989,385.6233215,369.6766663,372.0,360.6400146,378.9966736
9,379.019989,385.6233215,369.6766663,372.0,360.6400146,378.9966736,381.5866699
10,385.6233215,369.6766663,372.0,360.6400146,378.9966736,381.5866699,365.0
11,369.6766663,372.0,360.6400146,378.9966736,381.5866699,365.0,361.5333252
12,372.0,360.6400146,378.9966736,381.5866699,365.0,361.5333252,338.3233337
13,360.6400146,378.9966736,381.5866699,365.0,361.5333252,338.3233337,336.3366699
14,378.9966736,381.5866699,365.0,361.5333252,338.3233337,336.3366699,350.5833435
15,381.5866699,365.0,361.5333252,338.3233337,336.3366699,350.5833435,356.3200073
16,365.0,361.5333252,338.3233337,336.3366699,350.5833435,356.3200073,334.6000061
17,361.5333252,338.3233337,336.3366699,350.5833435,356.3200073,334.6000061,339.0100098
18,338.3233337,336.3366699,350.5833435,356.3200073,334.6000061,339.0100098,322.1366577
19,336.3366699,350.5833435,356.3200073,334.6000061,339.0100098,322.1366577,319.5033264
20,350.5833435,356.3200073,334.6000061,339.0100098,322.1366577,319.5033264,325.3299866
21,356.3200073,334.6000061,339.0100098,322.1366577,319.5033264,325.3299866,308.9733276
22,334.6000061,339.0100098,322.1366577,319.5033264,325.3299866,308.9733276,310.8566589
23,339.0100098,322.1366577,319.5033264,325.3299866,308.9733276,310.8566589,299.980011
24,322.1366577,319.5033264,325.3299866,308.9733276,310.8566589,299.980011,312.8433228
25,319.5033264,325.3299866,308.9733276,310.8566589,299.980011,312.8433228,336.2900085
26,325.3299866,308.9733276,310.8566589,299.980011,312.8433228,336.2900085,355.6666565
27,308.9733276,310.8566589,299.980011,312.8433228,336.2900085,355.6666565,364.6466675
28,310.8566589,299.980011,312.8433228,336.2900085,355.6666565,364.6466675,362.8233337
29,299.980011,312.8433228,336.2900085,355.6666565,364.6466675,362.8233337,362.063324
30,312.8433228,336.2900085,355.6666565,364.6466675,362.8233337,362.063324,356.7799988
31,336.2900085,355.6666565,364.6466675,362.8233337,362.063324,356.7799988,352.2600098
32,355.6666565,364.6466675,362.8233337,362.063324,356.7799988,352.2600098,399.9266663
33,364.6466675,362.8233337,362.063324,356.7799988,352.2600098,399.9266663,383.1966553
34,362.8233337,362.063324,356.7799988,352.2600098,399.9266663,383.1966553,362.706665
35,362.063324,356.7799988,352.2600098,399.9266663,383.1966553,362.706665,354.8999939
36,356.7799988,352.2600098,399.9266663,383.1966553,362.706665,354.8999939,342.3200073
37,352.2600098,399.9266663,383.1966553,362.706665,354.8999939,342.3200073,352.706665
38,399.9266663,383.1966553,362.706665,354.8999939,342.3200073,352.706665,354.7999878
39,383.1966553,362.706665,354.8999939,342.3200073,352.706665,354.7999878,368.7399902
40,362.706665,354.8999939,342.3200073,352.706665,354.7999878,368.7399902,343.8533325
41,354.8999939,342.3200073,352.706665,354.7999878,368.7399902,343.8533325,349.8699951
42,342.3200073,352.706665,354.7999878,368.7399902,343.8533325,349.8699951,343.5033264
43,352.706665,354.7999878,368.7399902,343.8533325,349.8699951,343.5033264,331.8833313
44,354.7999878,368.7399902,343.8533325,349.8699951,343.5033264,331.8833313,332.0899963
45,368.7399902,343.8533325,349.8699951,343.5033264,331.8833313,332.0899963,314.6333313
46,343.8533325,349.8699951,343.5033264,331.8833313,332.0899963,314.6333313,310.0
47,349.8699951,343.5033264,331.8833313,332.0899963,314.6333313,310.0,306.1333313
48,343.5033264,331.8833313,332.0899963,314.6333313,310.0,306.1333313,312.4700012
49,331.8833313,332.0899963,314.6333313,310.0,306.1333313,312.4700012,276.3666687
50,332.0899963,314.6333313,310.0,306.1333313,312.4700012,276.3666687,282.1166687
51,314.6333313,310.0,306.1333313,312.4700012,276.3666687,282.1166687,312.2399902
52,310.0,306.1333313,312.4700012,276.3666687,282.1166687,312.2399902,310.4166565
53,306.1333313,312.4700012,276.3666687,282.1166687,312.2399902,310.4166565,301.8866577
54,312.4700012,276.3666687,282.1166687,312.2399902,310.4166565,301.8866577,297.0466614
55,276.3666687,282.1166687,312.2399902,310.4166565,301.8866577,297.0466614,307.7733459
56,282.1166687,312.2399902,310.4166565,301.8866577,297.0466614,307.7733459,302.4466553
57,312.2399902,310.4166565,301.8866577,297.0466614,307.7733459,302.4466553,307.3333435
58,310.4166565,301.8866577,297.0466614,307.7733459,302.4466553,307.3333435,310.6666565
